community_id,factor_id,raw_value,value_source,data_year,confidence,comment
1,1,7,expert_assessment,2026,0.90,high wartime governance readiness
1,2,0.42,regional_stats,2026,0.80,share of community area in region
1,3,6,expert_assessment,2026,0.80,moderate flexibility
1,4,7,expert_assessment,2026,0.85,strong land data handling
1,5,6,expert_assessment,2026,0.75,acceptable investment setup
1,6,8,expert_assessment,2026,0.90,strong GIS enablement
1,7,7,expert_assessment,2026,0.85,boundaries mostly formalized
1,8,6,expert_assessment,2026,0.70,stable non-agri land use organization
1,9,7,expert_assessment,2026,0.90,strong governance
1,10,7,expert_assessment,2026,0.85,good wartime functioning
1,11,8,expert_assessment,2026,0.85,strong stakeholder coordination
1,12,1.15,stats,2026,0.80,positive growth in cooperation projects
1,13,7,expert_assessment,2026,0.80,good admin services
1,14,1.18,budget_stats,2026,0.90,budget growth
1,15,6,expert_assessment,2026,0.70,acceptable governance spending efficiency
1,16,5,expert_assessment,2026,0.70,several partners
1,17,7,expert_assessment,2026,0.85,integrated development present
1,18,8,expert_assessment,2026,0.85,strong recovery programming
1,19,7,expert_assessment,2026,0.85,good information support
1,20,6,expert_assessment,2026,0.80,AI possible in pilot mode
1,21,8,expert_assessment,2026,0.90,strong GIS use
1,22,7,expert_assessment,2026,0.80,trained staff available
1,23,6,expert_assessment,2026,0.70,research moderate
1,24,6,expert_assessment,2026,0.70,events moderate
1,25,7,expert_assessment,2026,0.80,good NSDI alignment
1,26,7,expert_assessment,2026,0.80,strong geodata use
1,27,7,expert_assessment,2026,0.80,monitoring exists
1,28,8,expert_assessment,2026,0.90,strong decision support logic

2,1,6,expert_assessment,2026,0.85,stable
2,2,0.46,regional_stats,2026,0.80,share of area
2,3,7,expert_assessment,2026,0.80,strong flexibility
2,4,6,expert_assessment,2026,0.80,good land data handling
2,5,7,expert_assessment,2026,0.80,strong investment setup
2,6,7,expert_assessment,2026,0.85,strong GIS enablement
2,7,6,expert_assessment,2026,0.80,boundaries partly updated
2,8,7,expert_assessment,2026,0.75,strong land-use organization
2,9,6,expert_assessment,2026,0.85,good governance
2,10,6,expert_assessment,2026,0.80,stable wartime functioning
2,11,7,expert_assessment,2026,0.85,good stakeholder coordination
2,12,1.10,stats,2026,0.80,moderate growth
2,13,6,expert_assessment,2026,0.75,good admin services
2,14,1.12,budget_stats,2026,0.85,positive budget trend
2,15,7,expert_assessment,2026,0.70,good efficiency
2,16,4,expert_assessment,2026,0.65,limited partners
2,17,6,expert_assessment,2026,0.80,integrated development moderate
2,18,7,expert_assessment,2026,0.85,recovery programming present
2,19,6,expert_assessment,2026,0.80,good info support
2,20,6,expert_assessment,2026,0.75,AI possible
2,21,7,expert_assessment,2026,0.85,GIS in use
2,22,6,expert_assessment,2026,0.75,moderate human capacity
2,23,6,expert_assessment,2026,0.70,moderate research
2,24,5,expert_assessment,2026,0.65,average scientific activity
2,25,7,expert_assessment,2026,0.80,good NSDI alignment
2,26,6,expert_assessment,2026,0.75,good geodata use
2,27,6,expert_assessment,2026,0.75,monitoring moderate
2,28,7,expert_assessment,2026,0.85,good decision support

3,1,5,expert_assessment,2026,0.80,moderate
3,2,0.31,regional_stats,2026,0.80,share of area
3,3,5,expert_assessment,2026,0.80,moderate flexibility
3,4,5,expert_assessment,2026,0.75,average land data handling
3,5,5,expert_assessment,2026,0.75,average investment setup
3,6,6,expert_assessment,2026,0.80,good GIS enablement
3,7,5,expert_assessment,2026,0.75,boundaries incomplete
3,8,5,expert_assessment,2026,0.70,average organization
3,9,5,expert_assessment,2026,0.80,average governance
3,10,5,expert_assessment,2026,0.80,moderate wartime functioning
3,11,6,expert_assessment,2026,0.80,coordination exists
3,12,0.98,stats,2026,0.75,stagnation
3,13,5,expert_assessment,2026,0.75,average admin services
3,14,1.01,budget_stats,2026,0.80,flat budget trend
3,15,5,expert_assessment,2026,0.70,average efficiency
3,16,3,expert_assessment,2026,0.65,few partners
3,17,5,expert_assessment,2026,0.75,average integrated development
3,18,6,expert_assessment,2026,0.80,recovery planning exists
3,19,5,expert_assessment,2026,0.75,average information support
3,20,5,expert_assessment,2026,0.75,limited AI use
