community_id,factor_id,raw_value,value_source,data_year,confidence,comment,unit,factor_code,block,weight_inside_block,normalized_value,weighted_factor_score
1,1,7.0,expert_assessment,2026,0.9,high wartime governance readiness,score,SP001,spatial,0.125,0.7,0.0875
1,2,0.42,regional_stats,2026,0.8,share of community area in region,percent,SP002,spatial,0.125,0.8333333333333331,0.10416666666666664
1,3,6.0,expert_assessment,2026,0.8,moderate flexibility,score,SP003,spatial,0.125,0.6,0.075
1,4,7.0,expert_assessment,2026,0.85,strong land data handling,score,SP004,spatial,0.125,0.7,0.0875
1,5,6.0,expert_assessment,2026,0.75,acceptable investment setup,score,SP005,spatial,0.125,0.6,0.075
1,6,8.0,expert_assessment,2026,0.9,strong GIS enablement,score,SP006,spatial,0.125,0.8,0.1
1,7,7.0,expert_assessment,2026,0.85,boundaries mostly formalized,score,SP007,spatial,0.125,0.7,0.0875
1,8,6.0,expert_assessment,2026,0.7,stable non-agri land use organization,score,SP008,spatial,0.125,0.6,0.075
1,9,7.0,expert_assessment,2026,0.9,strong governance,score,DV001,development,0.1,0.7,0.06999999999999999
1,10,7.0,expert_assessment,2026,0.85,good wartime functioning,score,DV002,development,0.1,0.7,0.06999999999999999
1,11,8.0,expert_assessment,2026,0.85,strong stakeholder coordination,score,DV003,development,0.1,0.8,0.08000000000000002
1,12,1.15,stats,2026,0.8,positive growth in cooperation projects,index,DV004,development,0.1,1.0,0.1
1,13,7.0,expert_assessment,2026,0.8,good admin services,index,DV005,development,0.1,1.0,0.1
1,14,1.18,budget_stats,2026,0.9,budget growth,index,DV006,development,0.1,1.0,0.1
1,15,6.0,expert_assessment,2026,0.7,acceptable governance spending efficiency,index,DV007,development,0.1,0.6666666666666666,0.06666666666666667
1,16,5.0,expert_assessment,2026,0.7,several partners,index,DV008,development,0.1,1.0,0.1
1,17,7.0,expert_assessment,2026,0.85,integrated development present,score,DV009,development,0.1,0.7,0.06999999999999999
1,18,8.0,expert_assessment,2026,0.85,strong recovery programming,score,DV010,development,0.1,0.8,0.08000000000000002
1,19,7.0,expert_assessment,2026,0.85,good information support,score,SC001,security,0.1,0.7,0.06999999999999999
1,20,6.0,expert_assessment,2026,0.8,AI possible in pilot mode,score,SC002,security,0.1,0.6,0.06
1,21,8.0,expert_assessment,2026,0.9,strong GIS use,score,SC003,security,0.1,0.8,0.08000000000000002
1,22,7.0,expert_assessment,2026,0.8,trained staff available,score,SC004,security,0.1,0.7,0.06999999999999999
1,23,6.0,expert_assessment,2026,0.7,research moderate,score,SC005,security,0.1,0.6,0.06
1,24,6.0,expert_assessment,2026,0.7,events moderate,score,SC006,security,0.1,0.6,0.06
1,25,7.0,expert_assessment,2026,0.8,good NSDI alignment,score,SC007,security,0.1,0.7,0.06999999999999999
1,26,7.0,expert_assessment,2026,0.8,strong geodata use,score,SC008,security,0.1,0.7,0.06999999999999999
1,27,7.0,expert_assessment,2026,0.8,monitoring exists,score,SC009,security,0.1,0.7,0.06999999999999999
1,28,8.0,expert_assessment,2026,0.9,strong decision support logic,score,SC010,security,0.1,0.8,0.08000000000000002
2,1,6.0,expert_assessment,2026,0.85,stable,score,SP001,spatial,0.125,0.6,0.075
2,2,0.46,regional_stats,2026,0.8,share of area,percent,SP002,spatial,0.125,1.0,0.125
2,3,7.0,expert_assessment,2026,0.8,strong flexibility,score,SP003,spatial,0.125,0.7,0.0875
2,4,6.0,expert_assessment,2026,0.8,good land data handling,score,SP004,spatial,0.125,0.6,0.075
2,5,7.0,expert_assessment,2026,0.8,strong investment setup,score,SP005,spatial,0.125,0.7,0.0875
2,6,7.0,expert_assessment,2026,0.85,strong GIS enablement,score,SP006,spatial,0.125,0.7,0.0875
2,7,6.0,expert_assessment,2026,0.8,boundaries partly updated,score,SP007,spatial,0.125,0.6,0.075
2,8,7.0,expert_assessment,2026,0.75,strong land-use organization,score,SP008,spatial,0.125,0.7,0.0875
2,9,6.0,expert_assessment,2026,0.85,good governance,score,DV001,development,0.1,0.6,0.06
2,10,6.0,expert_assessment,2026,0.8,stable wartime functioning,score,DV002,development,0.1,0.6,0.06
2,11,7.0,expert_assessment,2026,0.85,good stakeholder coordination,score,DV003,development,0.1,0.7,0.06999999999999999
2,12,1.1,stats,2026,0.8,moderate growth,index,DV004,development,0.1,0.8000000000000006,0.08000000000000007
2,13,6.0,expert_assessment,2026,0.75,good admin services,index,DV005,development,0.1,0.6666666666666666,0.06666666666666667
2,14,1.12,budget_stats,2026,0.85,positive budget trend,index,DV006,development,0.1,0.7500000000000007,0.07500000000000007
